0;9999998
100;930
200;930
300;930
400;930
500;930
600;930
700;930
800;930
900;930
0;9999998
100;920
200;920
300;920
400;920
500;920
600;920
700;920
800;920
900;920
0;9999998
100;880
200;880
300;880
400;880
500;880
600;880
700;880
800;880
900;880
0;9999998
100;930
200;930
300;930
400;930
500;930
600;930
700;930
800;930
900;930
0;9999998
100;950
200;950
300;950
400;950
500;950
600;950
700;950
800;950
900;950
0;9999998
100;9999998
200;9999998
300;9999998
400;9999998
500;9999998
600;9999998
700;9999998
800;9999998
900;9999998
0;9999998
100;9999998
200;9999998
300;9999998
400;9999998
500;9999998
600;9999998
700;9999998
800;9999998
900;9999998
0;9999998
100;9999998
200;9999998
300;9999998
400;9999998
500;9999998
600;9999998
700;9999998
800;9999998
900;9999998
0;9999998
100;9999998
200;9999998
300;9999998
400;9999998
500;9999998
600;9999998
700;9999998
800;9999998
900;9999998
0;9999997
100;9999997
200;9999997
300;9999997
400;9999997
500;9999997
600;9999997
700;9999997
800;9999997
900;9999997
0;9999997
100;9999997
200;9999997
300;9999997
400;9999997
500;9999997
600;9999997
700;9999997
800;9999997
900;9999997
0;9999996
100;9999996
200;9999996
300;9999996
400;9999996
500;9999996
600;9999996
700;9999996
800;9999996
900;9999996
0;9999996
100;9999996
200;9999996
300;9999996
400;9999996
500;9999996
600;9999996
700;9999996
800;9999996
900;9999996
0;9999996
100;940
200;940
300;940
400;940
500;940
600;940
700;940
800;940
900;940
0;9999949
100;930
200;930
300;930
400;930
500;930
600;930
700;930
800;930
900;930
0;9999949
100;0
200;0
300;0
400;0
500;0
600;0
700;0
800;0
900;0
0;9999950
100;30
200;30
300;30
400;30
500;30
600;30
700;30
800;30
900;30
0;9999950
100;0
200;0
300;0
400;0
500;0
600;0
700;0
800;0
900;0
1000;0
1100;0
1200;0
1300;0
1400;0
1500;0
1600;0
1700;0
1800;0
1900;0
2000;0
2100;0
2200;0
2300;0
2400;0
2500;0
2600;0
2700;0
2800;0
2900;0
3000;0
3100;0
3200;0
3300;0
3400;0
3500;0
3600;0
3700;0
3800;0
3900;0
4000;0
4100;0
4200;0
4300;0
4400;0
4500;0
4600;0
4700;0
4800;0
4900;0
5000;0
5100;0
5200;0
5300;0
5400;0
5500;0
5600;0
5700;0
5800;0
5900;0
6000;0
6100;0
6200;0
6300;0
6400;0
6500;0
6600;0
6700;0
6800;0
6900;0
7000;0
7100;0
7200;0
7300;0
